found: 535
size 3084 cubes 
size 510 bigP 3643
19^3 = 6859 =  a:3 b:10 c:18
1493^3 = 3327970157 =  a:554 b:605 c:1432
1493^3 = 3327970157 =  a:87 b:935 c:1359
1511^3 = 3449795831 =  a:53 b:633 c:1473
1511^3 = 3449795831 =  a:815 b:1084 c:1178
1523^3 = 3532642667 =  a:452 b:747 c:1446
1543^3 = 3673650007 =  a:42 b:1210 c:1239
1543^3 = 3673650007 =  a:445 b:1125 c:1293
1543^3 = 3673650007 =  a:874 b:1111 c:1178
1549^3 = 3716672149 =  a:262 b:340 c:1541
1549^3 = 3716672149 =  a:525 b:1128 c:1288
1553^3 = 3745539377 =  a:185 b:201 c:1551
1559^3 = 3789119879 =  a:686 b:1071 c:1308
1571^3 = 3877292411 =  a:110 b:787 c:1502
1571^3 = 3877292411 =  a:699 b:1125 c:1283
1579^3 = 3936827539 =  a:805 b:893 c:1393
1583^3 = 3966822287 =  a:327 b:816 c:1502
1583^3 = 3966822287 =  a:382 b:1031 c:1412
1583^3 = 3966822287 =  a:694 b:935 c:1412
1583^3 = 3966822287 =  a:95 b:458 c:1570
1607^3 = 4149995543 =  a:68 b:1096 c:1415
1609^3 = 4165509529 =  a:121 b:278 c:1606
1609^3 = 4165509529 =  a:465 b:906 c:1492
1609^3 = 4165509529 =  a:640 b:1234 c:1265
1613^3 = 4196653397 =  a:150 b:965 c:1488
1619^3 = 4243659659 =  a:275 b:856 c:1532
1619^3 = 4243659659 =  a:323 b:698 c:1570
1621^3 = 4259406061 =  a:885 b:1054 c:1338
1657^3 = 4549540393 =  a:408 b:1153 c:1434
1657^3 = 4549540393 =  a:646 b:668 c:1585
1657^3 = 4549540393 =  a:6 b:828 c:1585
1657^3 = 4549540393 =  a:865 b:1032 c:1410
1663^3 = 4599141247 =  a:447 b:1206 c:1402
1667^3 = 4632407963 =  a:666 b:930 c:1523
1669^3 = 4649101309 =  a:697 b:873 c:1539
1697^3 = 4887035873 =  a:230 b:384 c:1689
1723^3 = 5115120067 =  a:947 b:1039 c:1465
1733^3 = 5204699837 =  a:245 b:1358 c:1390
1733^3 = 5204699837 =  a:669 b:680 c:1662
1733^3 = 5204699837 =  a:80 b:1156 c:1541
1741^3 = 5277112021 =  a:909 b:1048 c:1500
1747^3 = 5331859723 =  a:27 b:1338 c:1432
1753^3 = 5386984777 =  a:993 b:1204 c:1386
1759^3 = 5442488479 =  a:372 b:1111 c:1590
1783^3 = 5668315687 =  a:447 b:586 c:1752
1783^3 = 5668315687 =  a:519 b:1062 c:1630
1783^3 = 5668315687 =  a:567 b:1224 c:1540
1783^3 = 5668315687 =  a:873 b:1297 c:1413
1787^3 = 5706550403 =  a:41 b:1185 c:1593
1787^3 = 5706550403 =  a:950 b:1096 c:1523
1789^3 = 5725732069 =  a:33 b:457 c:1779
1789^3 = 5725732069 =  a:781 b:870 c:1662
1789^3 = 5725732069 =  a:79 b:1207 c:1583
1801^3 = 5841725401 =  a:505 b:654 c:1758
1811^3 = 5939574731 =  a:836 b:1348 c:1427
1823^3 = 6058428767 =  a:9 b:815 c:1767
1831^3 = 6138539191 =  a:591 b:1012 c:1698
1847^3 = 6300872423 =  a:326 b:1263 c:1620
1847^3 = 6300872423 =  a:367 b:656 c:1814
1861^3 = 6445240381 =  a:502 b:613 c:1826
1867^3 = 6507781363 =  a:992 b:1210 c:1555
1871^3 = 6549699311 =  a:279 b:1317 c:1619
1871^3 = 6549699311 =  a:693 b:809 c:1785
1871^3 = 6549699311 =  a:88 b:1220 c:1679
1873^3 = 6570725617 =  a:438 b:864 c:1801
1873^3 = 6570725617 =  a:522 b:1153 c:1698
1873^3 = 6570725617 =  a:6 b:900 c:1801
1873^3 = 6570725617 =  a:744 b:1081 c:1698
1873^3 = 6570725617 =  a:809 b:1096 c:1678
1877^3 = 6612913133 =  a:699 b:743 c:1803
1879^3 = 6634074439 =  a:300 b:1087 c:1746
1879^3 = 6634074439 =  a:738 b:1087 c:1704
1889^3 = 6740558369 =  a:446 b:1102 c:1745
1889^3 = 6740558369 =  a:476 b:1057 c:1760
1889^3 = 6740558369 =  a:575 b:1011 c:1767
1901^3 = 6869835701 =  a:362 b:1397 c:1600
1901^3 = 6869835701 =  a:453 b:828 c:1838
1907^3 = 6935089643 =  a:1075 b:1280 c:1532
1913^3 = 7000755497 =  a:704 b:1102 c:1745
1913^3 = 7000755497 =  a:75 b:729 c:1877
1931^3 = 7200237491 =  a:1056 b:1395 c:1490
1949^3 = 7403473349 =  a:600 b:1437 c:1616
1951^3 = 7426288351 =  a:238 b:1036 c:1847
1951^3 = 7426288351 =  a:300 b:951 c:1870
1973^3 = 7680354317 =  a:221 b:818 c:1924
1979^3 = 7750636739 =  a:291 b:432 c:1970
1987^3 = 7845011803 =  a:186 b:1035 c:1888
1987^3 = 7845011803 =  a:699 b:918 c:1888
1993^3 = 7916293657 =  a:993 b:1390 c:1620
1999^3 = 7988005999 =  a:1026 b:1143 c:1756
1999^3 = 7988005999 =  a:736 b:1423 c:1676
2017^3 = 8205738913 =  a:876 b:1441 c:1656
2017^3 = 8205738913 =  a:892 b:1185 c:1800
2027^3 = 8328393683 =  a:830 b:902 c:1915
2029^3 = 8353070389 =  a:172 b:874 c:1973
2029^3 = 8353070389 =  a:300 b:904 c:1965
2029^3 = 8353070389 =  a:404 b:610 c:2005
2053^3 = 8653002877 =  a:303 b:685 c:2025
2053^3 = 8653002877 =  a:722 b:1276 c:1837
2063^3 = 8780064047 =  a:101 b:1017 c:1977
2069^3 = 8856894509 =  a:149 b:212 c:2068
2083^3 = 9037905787 =  a:267 b:1266 c:1912
2087^3 = 9090072503 =  a:424 b:1511 c:1772
2087^3 = 9090072503 =  a:543 b:872 c:2022
2087^3 = 9090072503 =  a:940 b:1511 c:1688
2089^3 = 9116230969 =  a:683 b:1111 c:1951
2111^3 = 9407293631 =  a:542 b:1135 c:1982
2111^3 = 9407293631 =  a:698 b:1479 c:1800
2113^3 = 9434056897 =  a:25 b:1452 c:1854
2113^3 = 9434056897 =  a:517 b:1555 c:1769
2129^3 = 9649992689 =  a:233 b:478 c:2120
2129^3 = 9649992689 =  a:277 b:605 c:2111
2129^3 = 9649992689 =  a:740 b:1388 c:1873
2129^3 = 9649992689 =  a:914 b:1593 c:1692
2131^3 = 9677214091 =  a:187 b:192 c:2130
2137^3 = 9759185353 =  a:1222 b:1553 c:1612
2137^3 = 9759185353 =  a:393 b:994 c:2058
2137^3 = 9759185353 =  a:954 b:1353 c:1858
2141^3 = 9814089221 =  a:1250 b:1272 c:1797
2143^3 = 9841618207 =  a:839 b:1492 c:1810
2153^3 = 9980035577 =  a:1070 b:1537 c:1724
2161^3 = 10091699281 =  a:334 b:1528 c:1865
2161^3 = 10091699281 =  a:614 b:1558 c:1825
2179^3 = 10345981339 =  a:108 b:235 c:2178
2179^3 = 10345981339 =  a:336 b:1603 c:1836
2203^3 = 10691619427 =  a:1006 b:1035 c:2046
2203^3 = 10691619427 =  a:166 b:1384 c:2003
2203^3 = 10691619427 =  a:475 b:1328 c:2020
2207^3 = 10749963743 =  a:743 b:1546 c:1880
2213^3 = 10837877597 =  a:1238 b:1373 c:1852
2221^3 = 10955839861 =  a:556 b:813 c:2172
2237^3 = 11194326053 =  a:280 b:821 c:2198
2239^3 = 11224377919 =  a:1012 b:1706 c:1735
2239^3 = 11224377919 =  a:1182 b:1290 c:1951
2239^3 = 11224377919 =  a:175 b:1210 c:2114
2243^3 = 11284642907 =  a:467 b:926 c:2182
2267^3 = 11650768163 =  a:458 b:530 c:2251
2267^3 = 11650768163 =  a:923 b:1144 c:2108
2269^3 = 11681631109 =  a:1308 b:1437 c:1864
2273^3 = 11743520417 =  a:665 b:1126 c:2156
2281^3 = 11867954041 =  a:1345 b:1662 c:1692
2293^3 = 12056247757 =  a:618 b:1149 c:2176
2311^3 = 12342406231 =  a:303 b:1384 c:2130
2311^3 = 12342406231 =  a:415 b:1627 c:1997
2311^3 = 12342406231 =  a:681 b:1281 c:2149
2333^3 = 12698260037 =  a:200 b:1474 c:2117
2339^3 = 12796484219 =  a:522 b:1520 c:2091
2339^3 = 12796484219 =  a:996 b:1635 c:1952
2341^3 = 12829337821 =  a:684 b:1485 c:2098
2341^3 = 12829337821 =  a:802 b:1074 c:2229
2341^3 = 12829337821 =  a:918 b:1413 c:2098
2357^3 = 13094193293 =  a:121 b:461 c:2351
2357^3 = 13094193293 =  a:268 b:1046 c:2285
2357^3 = 13094193293 =  a:269 b:1544 c:2110
2357^3 = 13094193293 =  a:704 b:934 c:2285
2371^3 = 13328910811 =  a:1098 b:1156 c:2187
2371^3 = 13328910811 =  a:298 b:964 c:2315
2371^3 = 13328910811 =  a:472 b:1067 c:2290
2371^3 = 13328910811 =  a:67 b:1494 c:2154
2371^3 = 13328910811 =  a:780 b:832 c:2307
